Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,8,0.9099999999999999,0.31,0.31578381105881764
75% Corpus,8,0.9099999999999999,0.61,0.37605213323390707
75% Corpus,8,0.9099999999999999,0.9099999999999999,0.38395355090640776
75% Corpus,8,0.9099999999999999,symmetric,0.28569011375145337
75% Corpus,8,symmetric,0.01,0.30012258756395266
75% Corpus,8,symmetric,0.31,0.33473215558450686
75% Corpus,8,symmetric,0.61,0.3363725636357904
75% Corpus,8,symmetric,0.9099999999999999,0.36341223979099535
75% Corpus,8,symmetric,symmetric,0.31692925182253207
75% Corpus,8,asymmetric,0.01,0.2917268774280104
75% Corpus,8,asymmetric,0.31,0.31289823443015685
75% Corpus,8,asymmetric,0.61,0.3539199139517757
75% Corpus,8,asymmetric,0.9099999999999999,0.4334456083686829
75% Corpus,8,asymmetric,symmetric,0.31734208556408994
75% Corpus,9,0.01,0.01,0.3142482712561419
75% Corpus,9,0.01,0.31,0.3319701655493074
75% Corpus,9,0.01,0.61,0.32468058172910547
75% Corpus,9,0.01,0.9099999999999999,0.33364088466312536
75% Corpus,9,0.01,symmetric,0.30418148782839133
75% Corpus,9,0.31,0.01,0.3135232685146068
75% Corpus,9,0.31,0.31,0.3217928538844218
75% Corpus,9,0.31,0.61,0.35374345985079686
75% Corpus,9,0.31,0.9099999999999999,0.3474860933836499
75% Corpus,9,0.31,symmetric,0.31854250846096743
75% Corpus,9,0.61,0.01,0.3090343930907708
75% Corpus,9,0.61,0.31,0.30835350647196025
75% Corpus,9,0.61,0.61,0.34739619005248873
75% Corpus,9,0.61,0.9099999999999999,0.3824547312032965
75% Corpus,9,0.61,symmetric,0.3097109186156763
75% Corpus,9,0.9099999999999999,0.01,0.3104727254054092
75% Corpus,9,0.9099999999999999,0.31,0.3271780986076931
75% Corpus,9,0.9099999999999999,0.61,0.31961212388306887
75% Corpus,9,0.9099999999999999,0.9099999999999999,0.4031968314921913
75% Corpus,9,0.9099999999999999,symmetric,0.2976703022299441
75% Corpus,9,symmetric,0.01,0.31965660568524845
75% Corpus,9,symmetric,0.31,0.32739448845157554
75% Corpus,9,symmetric,0.61,0.354009833193869
75% Corpus,9,symmetric,0.9099999999999999,0.33703831299854575
75% Corpus,9,symmetric,symmetric,0.31840705393277857
75% Corpus,9,asymmetric,0.01,0.32076956769547743
75% Corpus,9,asymmetric,0.31,0.31571273818725465
75% Corpus,9,asymmetric,0.61,0.4175997178176276
75% Corpus,9,asymmetric,0.9099999999999999,0.3791603971588489
75% Corpus,9,asymmetric,symmetric,0.3088471365298922
75% Corpus,10,0.01,0.01,0.33241433352904654
75% Corpus,10,0.01,0.31,0.33008739897635847
75% Corpus,10,0.01,0.61,0.34414563749178095
75% Corpus,10,0.01,0.9099999999999999,0.35624231946877954
75% Corpus,10,0.01,symmetric,0.32826270524218504
75% Corpus,10,0.31,0.01,0.33467522840167807
75% Corpus,10,0.31,0.31,0.33156579384030876
75% Corpus,10,0.31,0.61,0.32501119604254497
75% Corpus,10,0.31,0.9099999999999999,0.37273966315959967
75% Corpus,10,0.31,symmetric,0.33175264696681295
75% Corpus,10,0.61,0.01,0.3304350935493116
75% Corpus,10,0.61,0.31,0.34087889615691136
75% Corpus,10,0.61,0.61,0.32492150922440477
75% Corpus,10,0.61,0.9099999999999999,0.3601962153353061
75% Corpus,10,0.61,symmetric,0.3241817077354012
75% Corpus,10,0.9099999999999999,0.01,0.33032724935707797
75% Corpus,10,0.9099999999999999,0.31,0.3463264890663932
75% Corpus,10,0.9099999999999999,0.61,0.32371024503385376
75% Corpus,10,0.9099999999999999,0.9099999999999999,0.36353744125743404
75% Corpus,10,0.9099999999999999,symmetric,0.3207053827381462
75% Corpus,10,symmetric,0.01,0.3316488855493377
75% Corpus,10,symmetric,0.31,0.3231624294744514
75% Corpus,10,symmetric,0.61,0.3472087496143374
75% Corpus,10,symmetric,0.9099999999999999,0.35251270551489683
75% Corpus,10,symmetric,symmetric,0.32826270524218504
75% Corpus,10,asymmetric,0.01,0.32345374096148294
75% Corpus,10,asymmetric,0.31,0.33022348673083984
75% Corpus,10,asymmetric,0.61,0.4274343063528708
75% Corpus,10,asymmetric,0.9099999999999999,0.4609521669245322
75% Corpus,10,asymmetric,symmetric,0.33107227538568096
100% Corpus,2,0.01,0.01,0.2504363049493491
100% Corpus,2,0.01,0.31,0.25263653680156606
100% Corpus,2,0.01,0.61,0.25263653680156606
100% Corpus,2,0.01,0.9099999999999999,0.25263653680156606
100% Corpus,2,0.01,symmetric,0.25263653680156606
100% Corpus,2,0.31,0.01,0.2504363049493491
100% Corpus,2,0.31,0.31,0.2504363049493491
100% Corpus,2,0.31,0.61,0.2504363049493491
100% Corpus,2,0.31,0.9099999999999999,0.2504363049493491
100% Corpus,2,0.31,symmetric,0.2504363049493491
100% Corpus,2,0.61,0.01,0.2626940800671029
100% Corpus,2,0.61,0.31,0.2504363049493491
100% Corpus,2,0.61,0.61,0.2504363049493491
100% Corpus,2,0.61,0.9099999999999999,0.2504363049493491
100% Corpus,2,0.61,symmetric,0.2504363049493491
100% Corpus,2,0.9099999999999999,0.01,0.2797149380726289
100% Corpus,2,0.9099999999999999,0.31,0.25043630494934915
100% Corpus,2,0.9099999999999999,0.61,0.2504363049493491
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.2504363049493491
100% Corpus,2,0.9099999999999999,symmetric,0.2504363049493491
100% Corpus,2,symmetric,0.01,0.2504363049493491
100% Corpus,2,symmetric,0.31,0.2504363049493491
100% Corpus,2,symmetric,0.61,0.2504363049493491
100% Corpus,2,symmetric,0.9099999999999999,0.2504363049493491
100% Corpus,2,symmetric,symmetric,0.2504363049493491
100% Corpus,2,asymmetric,0.01,0.25043630494934915
100% Corpus,2,asymmetric,0.31,0.2504363049493491
100% Corpus,2,asymmetric,0.61,0.2504363049493491
100% Corpus,2,asymmetric,0.9099999999999999,0.2504363049493491
100% Corpus,2,asymmetric,symmetric,0.2504363049493491
100% Corpus,3,0.01,0.01,0.28982559926850876
100% Corpus,3,0.01,0.31,0.27774860688347686
100% Corpus,3,0.01,0.61,0.27820975960179223
100% Corpus,3,0.01,0.9099999999999999,0.2673930671952222
100% Corpus,3,0.01,symmetric,0.27774860688347686
100% Corpus,3,0.31,0.01,0.28982559926850876
100% Corpus,3,0.31,0.31,0.27084402851261447
100% Corpus,3,0.31,0.61,0.2778349702341692
100% Corpus,3,0.31,0.9099999999999999,0.27774860688347675
100% Corpus,3,0.31,symmetric,0.27084402851261447
100% Corpus,3,0.61,0.01,0.2833962065248994
100% Corpus,3,0.61,0.31,0.27640812690945027
100% Corpus,3,0.61,0.61,0.2708440285126144
100% Corpus,3,0.61,0.9099999999999999,0.2778349702341692
100% Corpus,3,0.61,symmetric,0.2764081269094503
100% Corpus,3,0.9099999999999999,0.01,0.28408578461796924
100% Corpus,3,0.9099999999999999,0.31,0.26921323235062794
100% Corpus,3,0.9099999999999999,0.61,0.2708440285126145
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.27783497023416925
100% Corpus,3,0.9099999999999999,symmetric,0.26921323235062794
100% Corpus,3,symmetric,0.01,0.2833962065248994
100% Corpus,3,symmetric,0.31,0.27084402851261447
100% Corpus,3,symmetric,0.61,0.27774860688347686
100% Corpus,3,symmetric,0.9099999999999999,0.27774860688347675
100% Corpus,3,symmetric,symmetric,0.27084402851261447
100% Corpus,3,asymmetric,0.01,0.2753099413015098
100% Corpus,3,asymmetric,0.31,0.2727759227634626
100% Corpus,3,asymmetric,0.61,0.2753495908980714
100% Corpus,3,asymmetric,0.9099999999999999,0.28607552746174564
100% Corpus,3,asymmetric,symmetric,0.2727759227634626
100% Corpus,4,0.01,0.01,0.2618881752764166
100% Corpus,4,0.01,0.31,0.25453491138810375
100% Corpus,4,0.01,0.61,0.2772722513387915
100% Corpus,4,0.01,0.9099999999999999,0.2658680499469078
100% Corpus,4,0.01,symmetric,0.25370177787999837
100% Corpus,4,0.31,0.01,0.2505698755608316
100% Corpus,4,0.31,0.31,0.2575443180588253
100% Corpus,4,0.31,0.61,0.2556077864195218
100% Corpus,4,0.31,0.9099999999999999,0.27099584512950714
100% Corpus,4,0.31,symmetric,0.2575443180588253
100% Corpus,4,0.61,0.01,0.2690666537230856
100% Corpus,4,0.61,0.31,0.2575443180588253
100% Corpus,4,0.61,0.61,0.2589161968282326
100% Corpus,4,0.61,0.9099999999999999,0.27752438387665135
100% Corpus,4,0.61,symmetric,0.25051573913428754
100% Corpus,4,0.9099999999999999,0.01,0.2668585537892916
100% Corpus,4,0.9099999999999999,0.31,0.25147498826158005
100% Corpus,4,0.9099999999999999,0.61,0.24867551392223122
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.2679715555660911
100% Corpus,4,0.9099999999999999,symmetric,0.2505698755608316
100% Corpus,4,symmetric,0.01,0.25217926558202697
100% Corpus,4,symmetric,0.31,0.2575443180588253
100% Corpus,4,symmetric,0.61,0.2619730841012514
100% Corpus,4,symmetric,0.9099999999999999,0.27099584512950714
100% Corpus,4,symmetric,symmetric,0.2575443180588253
100% Corpus,4,asymmetric,0.01,0.2586942622847111
100% Corpus,4,asymmetric,0.31,0.25484461017386334
100% Corpus,4,asymmetric,0.61,0.2574425155515318
100% Corpus,4,asymmetric,0.9099999999999999,0.27770513080127673
100% Corpus,4,asymmetric,symmetric,0.2597559859706834
100% Corpus,5,0.01,0.01,0.2705674755750333
100% Corpus,5,0.01,0.31,0.28746209246488014
100% Corpus,5,0.01,0.61,0.296845517031258
100% Corpus,5,0.01,0.9099999999999999,0.27061357830317345
100% Corpus,5,0.01,symmetric,0.2924422429730608
100% Corpus,5,0.31,0.01,0.26324234943627617
100% Corpus,5,0.31,0.31,0.28970964905163427
100% Corpus,5,0.31,0.61,0.3019462157610057
100% Corpus,5,0.31,0.9099999999999999,0.27562403905383037
100% Corpus,5,0.31,symmetric,0.2897096490516343
100% Corpus,5,0.61,0.01,0.2712075142986089
100% Corpus,5,0.61,0.31,0.29643946356996737
100% Corpus,5,0.61,0.61,0.3133206275484312
100% Corpus,5,0.61,0.9099999999999999,0.30029421293898545
100% Corpus,5,0.61,symmetric,0.2876515744311676
100% Corpus,5,0.9099999999999999,0.01,0.2738683101640476
100% Corpus,5,0.9099999999999999,0.31,0.2877607481386932
100% Corpus,5,0.9099999999999999,0.61,0.30524781265716533
100% Corpus,5,0.9099999999999999,0.9099999999999999,0.3074807457543266
100% Corpus,5,0.9099999999999999,symmetric,0.27315642909837246
100% Corpus,5,symmetric,0.01,0.27056747557503336
100% Corpus,5,symmetric,0.31,0.2876515744311676
100% Corpus,5,symmetric,0.61,0.3019462157610057
100% Corpus,5,symmetric,0.9099999999999999,0.27591888817575555
100% Corpus,5,symmetric,symmetric,0.2887043587016329
100% Corpus,5,asymmetric,0.01,0.27401187819219547
100% Corpus,5,asymmetric,0.31,0.304264670273668
100% Corpus,5,asymmetric,0.61,0.3089505341182474
100% Corpus,5,asymmetric,0.9099999999999999,0.3043012176746785
100% Corpus,5,asymmetric,symmetric,0.2963076696508832
100% Corpus,6,0.01,0.01,0.28798007892181876
100% Corpus,6,0.01,0.31,0.2758792289058785
100% Corpus,6,0.01,0.61,0.27960307799249184
100% Corpus,6,0.01,0.9099999999999999,0.26833828092114403
100% Corpus,6,0.01,symmetric,0.2828911306116813
100% Corpus,6,0.31,0.01,0.2927405610217151
100% Corpus,6,0.31,0.31,0.2937782879578548
100% Corpus,6,0.31,0.61,0.2825581619686139
100% Corpus,6,0.31,0.9099999999999999,0.26994394094541013
100% Corpus,6,0.31,symmetric,0.2897624697524888
100% Corpus,6,0.61,0.01,0.30303183896928326
100% Corpus,6,0.61,0.31,0.2886851940344457
100% Corpus,6,0.61,0.61,0.2946428960299717
100% Corpus,6,0.61,0.9099999999999999,0.292958491669096
100% Corpus,6,0.61,symmetric,0.29371635570305776
100% Corpus,6,0.9099999999999999,0.01,0.2937929301949654
100% Corpus,6,0.9099999999999999,0.31,0.3080685821416603
100% Corpus,6,0.9099999999999999,0.61,0.307319424161601
100% Corpus,6,0.9099999999999999,0.9099999999999999,0.3086423822746392
100% Corpus,6,0.9099999999999999,symmetric,0.31091027661380205
100% Corpus,6,symmetric,0.01,0.294033210190757
100% Corpus,6,symmetric,0.31,0.28761162231368353
100% Corpus,6,symmetric,0.61,0.2774629721573449
100% Corpus,6,symmetric,0.9099999999999999,0.2624766232343509
100% Corpus,6,symmetric,symmetric,0.2914332810880585
100% Corpus,6,asymmetric,0.01,0.2979121830775609
100% Corpus,6,asymmetric,0.31,0.297344900210641
100% Corpus,6,asymmetric,0.61,0.3140063030233011
100% Corpus,6,asymmetric,0.9099999999999999,0.30800543546139386
100% Corpus,6,asymmetric,symmetric,0.2885713524239855
100% Corpus,7,0.01,0.01,0.3021341850516457
100% Corpus,7,0.01,0.31,0.31279273825020354
100% Corpus,7,0.01,0.61,0.3068156299540704
100% Corpus,7,0.01,0.9099999999999999,0.309281015049406
100% Corpus,7,0.01,symmetric,0.30062601318643084
100% Corpus,7,0.31,0.01,0.29149717366176453
100% Corpus,7,0.31,0.31,0.3501985068306162
100% Corpus,7,0.31,0.61,0.3315878497250068
100% Corpus,7,0.31,0.9099999999999999,0.3191811424079808
100% Corpus,7,0.31,symmetric,0.29492098967287167
100% Corpus,7,0.61,0.01,0.3309551893366451
100% Corpus,7,0.61,0.31,0.34962306017762035
100% Corpus,7,0.61,0.61,0.3266286851481805
100% Corpus,7,0.61,0.9099999999999999,0.33219757092565455
100% Corpus,7,0.61,symmetric,0.33904772524521026
100% Corpus,7,0.9099999999999999,0.01,0.31997077416704967
100% Corpus,7,0.9099999999999999,0.31,0.35098775076587546
100% Corpus,7,0.9099999999999999,0.61,0.33656766111655195
100% Corpus,7,0.9099999999999999,0.9099999999999999,0.3355420132411768
100% Corpus,7,0.9099999999999999,symmetric,0.3183650084333835
100% Corpus,7,symmetric,0.01,0.30009216078479106
100% Corpus,7,symmetric,0.31,0.3023960596809365
100% Corpus,7,symmetric,0.61,0.3072162780487782
100% Corpus,7,symmetric,0.9099999999999999,0.2849527026679146
100% Corpus,7,symmetric,symmetric,0.3005471580245821
100% Corpus,7,asymmetric,0.01,0.32391762832128107
100% Corpus,7,asymmetric,0.31,0.32276920965919337
100% Corpus,7,asymmetric,0.61,0.3012284726142794
100% Corpus,7,asymmetric,0.9099999999999999,0.3496403473171182
100% Corpus,7,asymmetric,symmetric,0.31966774399566883
100% Corpus,8,0.01,0.01,0.3096860826367661
100% Corpus,8,0.01,0.31,0.3177766409650127
100% Corpus,8,0.01,0.61,0.31156009907963356
100% Corpus,8,0.01,0.9099999999999999,0.34282285058241496
100% Corpus,8,0.01,symmetric,0.3128697897122941
100% Corpus,8,0.31,0.01,0.3076170032420058
100% Corpus,8,0.31,0.31,0.30866340125163094
100% Corpus,8,0.31,0.61,0.3234827370982688
100% Corpus,8,0.31,0.9099999999999999,0.3383865046362054
100% Corpus,8,0.31,symmetric,0.3079188941619764
100% Corpus,8,0.61,0.01,0.3057386801455674
100% Corpus,8,0.61,0.31,0.30890817176069035
100% Corpus,8,0.61,0.61,0.32462228235511575
100% Corpus,8,0.61,0.9099999999999999,0.3942128323176474
100% Corpus,8,0.61,symmetric,0.2993204126294211
100% Corpus,8,0.9099999999999999,0.01,0.2972761414661187
100% Corpus,8,0.9099999999999999,0.31,0.31260616116163054
100% Corpus,8,0.9099999999999999,0.61,0.34804921318491777
100% Corpus,8,0.9099999999999999,0.9099999999999999,0.3931079521366404
100% Corpus,8,0.9099999999999999,symmetric,0.3049336443542151
100% Corpus,8,symmetric,0.01,0.3076170032420058
100% Corpus,8,symmetric,0.31,0.3145715253099097
100% Corpus,8,symmetric,0.61,0.3145979592052541
100% Corpus,8,symmetric,0.9099999999999999,0.33789327246290835
100% Corpus,8,symmetric,symmetric,0.30647590964473914
100% Corpus,8,asymmetric,0.01,0.31589747512488764
100% Corpus,8,asymmetric,0.31,0.31796818967156354
100% Corpus,8,asymmetric,0.61,0.339451838724782
100% Corpus,8,asymmetric,0.9099999999999999,0.34458050373074245
100% Corpus,8,asymmetric,symmetric,0.3299702393829531
100% Corpus,9,0.01,0.01,0.29858595145968003
100% Corpus,9,0.01,0.31,0.32185802894027454
100% Corpus,9,0.01,0.61,0.30812205017968164
100% Corpus,9,0.01,0.9099999999999999,0.33638058105409513
100% Corpus,9,0.01,symmetric,0.30524067445305775
100% Corpus,9,0.31,0.01,0.3005440343144148
100% Corpus,9,0.31,0.31,0.3094997003619036
100% Corpus,9,0.31,0.61,0.3227934937057288
